id,video_id,buffering_bitrate_audio,buffering_bitrate_video,buffering_state,buffering_vmaf,duration,framerate,player_state,playing_bitrate_video,playing_bitrate_audio,playing_vmaf,position,rendering_state,resolution,segment_position,timestamp,total_corrupted_frames,total_dropped_frames,total_frames,volume
122,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,119.456,Playing,480x270,119.456,2023-02-06T14:18:46.337,0,0,2981,64
123,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,120.516,Playing,480x270,120.516,2023-02-06T14:18:47.330,0,0,3005,64
124,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,121.310,Playing,480x270,121.310,2023-02-06T14:18:48.331,0,0,3029,64
125,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,122.373,Playing,480x270,122.373,2023-02-06T14:18:49.328,0,0,3053,64
126,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,123.435,Playing,480x270,123.435,2023-02-06T14:18:50.332,0,0,3077,64
127,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,124.498,Playing,480x270,124.498,2023-02-06T14:18:51.332,0,0,3101,64
128,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,125.562,Playing,480x270,125.562,2023-02-06T14:18:52.328,0,0,3126,64
129,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,126.360,Playing,480x270,126.360,2023-02-06T14:18:53.330,0,0,3150,64
130,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,127.424,Playing,480x270,127.424,2023-02-06T14:18:54.328,0,0,3174,64
131,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,128.482,Playing,480x270,128.482,2023-02-06T14:18:55.330,0,0,3198,64
132,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,129.549,Playing,480x270,129.549,2023-02-06T14:18:56.330,0,0,3222,64
133,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,130.343,Playing,480x270,130.343,2023-02-06T14:18:57.332,0,0,3246,64
134,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,131.407,Playing,480x270,131.407,2023-02-06T14:18:58.328,0,0,3270,64
135,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,132.471,Playing,480x270,132.471,2023-02-06T14:18:59.332,0,0,3294,64
136,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,133.533,Playing,480x270,133.533,2023-02-06T14:19:00.328,0,0,3318,64
137,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,134.592,Playing,480x270,134.592,2023-02-06T14:19:01.330,0,0,3343,64
138,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,135.423,Playing,480x270,135.423,2023-02-06T14:19:02.328,0,0,3367,64
139,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,136.455,Playing,480x270,136.455,2023-02-06T14:19:03.332,0,0,3391,64
140,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,137.515,Playing,480x270,137.515,2023-02-06T14:19:04.332,0,0,3415,64
141,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,138.577,Playing,480x270,138.577,2023-02-06T14:19:05.328,0,0,3439,64
142,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,139.639,Playing,480x270,139.639,2023-02-06T14:19:06.332,0,0,3463,64
143,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,140.438,Playing,480x270,140.438,2023-02-06T14:19:07.333,0,0,3488,64
144,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,141.501,Playing,480x270,141.501,2023-02-06T14:19:08.335,0,0,3512,64
145,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,142.560,Playing,480x270,142.560,2023-02-06T14:19:09.332,0,0,3536,64
146,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,143.625,Playing,480x270,143.625,2023-02-06T14:19:10.332,0,0,3561,64
147,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,144.688,Playing,480x270,144.688,2023-02-06T14:19:11.332,0,0,3584,64
148,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,145.484,Playing,480x270,145.484,2023-02-06T14:19:12.328,0,0,3608,64
